Date,RGDP,Dpresident
1/1/1947,1934.471,0
4/1/1947,1932.281,0
7/1/1947,1930.315,0
10/1/1947,1960.705,0
1/1/1948,1989.535,0
4/1/1948,2021.851,0
7/1/1948,2033.155,0
10/1/1948,2035.329,0
1/1/1949,2007.522,0
4/1/1949,2000.788,1
7/1/1949,2022.798,1
10/1/1949,2004.653,1
1/1/1950,2084.559,1
4/1/1950,2147.592,1
7/1/1950,2230.362,1
10/1/1950,2273.435,1
1/1/1951,2304.542,1
4/1/1951,2344.517,1
7/1/1951,2392.808,1
10/1/1951,2398.105,1
1/1/1952,2423.457,1
4/1/1952,2428.516,1
7/1/1952,2446.081,1
10/1/1952,2526.359,1
1/1/1953,2573.372,1
4/1/1953,2593.456,0
7/1/1953,2578.922,0
10/1/1953,2539.786,0
1/1/1954,2528.043,0
4/1/1954,2530.689,0
7/1/1954,2559.397,0
10/1/1954,2609.272,0
1/1/1955,2683.766,0
4/1/1955,2727.452,0
7/1/1955,2764.128,0
10/1/1955,2780.762,0
1/1/1956,2770.032,0
4/1/1956,2792.872,0
7/1/1956,2790.588,0
10/1/1956,2836.238,0
1/1/1957,2854.517,0
4/1/1957,2848.186,0
7/1/1957,2875.927,0
10/1/1957,2846.446,0
1/1/1958,2772.654,0
4/1/1958,2790.948,0
7/1/1958,2855.472,0
10/1/1958,2922.264,0
1/1/1959,2976.629,0
4/1/1959,3049.011,0
7/1/1959,3043.139,0
10/1/1959,3055.104,0
1/1/1960,3123.162,0
4/1/1960,3111.31,0
7/1/1960,3119.057,0
10/1/1960,3081.3,0
1/1/1961,3102.251,0
4/1/1961,3159.918,1
7/1/1961,3212.606,1
10/1/1961,3277.717,1
1/1/1962,3336.753,1
4/1/1962,3372.706,1
7/1/1962,3404.833,1
10/1/1962,3418.046,1
1/1/1963,3456.08,1
4/1/1963,3501.134,1
7/1/1963,3569.479,1
10/1/1963,3594.954,1
1/1/1964,3672.708,1
4/1/1964,3716.382,1
7/1/1964,3766.862,1
10/1/1964,3780.219,1
1/1/1965,3873.452,1
4/1/1965,3926.406,1
7/1/1965,4006.152,1
10/1/1965,4100.631,1
1/1/1966,4201.891,1
4/1/1966,4219.097,1
7/1/1966,4249.152,1
10/1/1966,4285.582,1
1/1/1967,4324.926,1
4/1/1967,4328.72,1
7/1/1967,4366.088,1
10/1/1967,4401.233,1
1/1/1968,4490.609,1
4/1/1968,4566.442,1
7/1/1968,4599.332,1
10/1/1968,4619.803,1
1/1/1969,4691.637,1
4/1/1969,4706.684,0
7/1/1969,4736.143,0
10/1/1969,4715.469,0
1/1/1970,4707.112,0
4/1/1970,4715.441,0
7/1/1970,4757.213,0
10/1/1970,4708.281,0
1/1/1971,4834.349,0
4/1/1971,4861.938,0
7/1/1971,4899.95,0
10/1/1971,4914.261,0
1/1/1972,5002.436,0
4/1/1972,5118.278,0
7/1/1972,5165.448,0
10/1/1972,5251.226,0
1/1/1973,5380.502,0
4/1/1973,5441.504,0
7/1/1973,5411.935,0
10/1/1973,5462.397,0
1/1/1974,5417.024,0
4/1/1974,5431.265,0
7/1/1974,5378.679,0
10/1/1974,5357.166,0
1/1/1975,5292.444,0
4/1/1975,5333.22,0
7/1/1975,5421.357,0
10/1/1975,5494.446,0
1/1/1976,5618.52,0
4/1/1976,5660.972,0
7/1/1976,5689.756,0
10/1/1976,5732.462,0
1/1/1977,5799.16,0
4/1/1977,5912.977,1
7/1/1977,6017.586,1
10/1/1977,6018.218,1
1/1/1978,6039.158,1
4/1/1978,6273.963,1
7/1/1978,6335.317,1
10/1/1978,6420.288,1
1/1/1979,6433.044,1
4/1/1979,6440.832,1
7/1/1979,6487.08,1
10/1/1979,6503.874,1
1/1/1980,6524.912,1
4/1/1980,6392.578,1
7/1/1980,6382.892,1
10/1/1980,6501.184,1
1/1/1981,6635.726,1
4/1/1981,6587.269,0
7/1/1981,6662.858,0
10/1/1981,6585.127,0
1/1/1982,6474.973,0
4/1/1982,6510.247,0
7/1/1982,6486.8,0
10/1/1982,6493.128,0
1/1/1983,6578.175,0
4/1/1983,6728.287,0
7/1/1983,6860.022,0
10/1/1983,7001.489,0
1/1/1984,7140.597,0
4/1/1984,7266.01,0
7/1/1984,7337.493,0
10/1/1984,7396.019,0
1/1/1985,7469.545,0
4/1/1985,7537.928,0
7/1/1985,7655.196,0
10/1/1985,7712.624,0
1/1/1986,7784.109,0
4/1/1986,7819.843,0
7/1/1986,7898.555,0
10/1/1986,7939.45,0
1/1/1987,7994.965,0
4/1/1987,8084.71,0
7/1/1987,8158.035,0
10/1/1987,8292.687,0
1/1/1988,8339.324,0
4/1/1988,8449.51,0
7/1/1988,8498.282,0
10/1/1988,8610.85,0
1/1/1989,8697.711,0
4/1/1989,8766.105,0
7/1/1989,8831.544,0
10/1/1989,8850.23,0
1/1/1990,8947.129,0
4/1/1990,8981.727,0
7/1/1990,8983.945,0
10/1/1990,8907.363,0
1/1/1991,8865.564,0
4/1/1991,8934.366,0
7/1/1991,8977.252,0
10/1/1991,9016.444,0
1/1/1992,9122.95,0
4/1/1992,9223.545,0
7/1/1992,9313.208,0
10/1/1992,9406.528,0
1/1/1993,9424.065,0
4/1/1993,9480.106,1
7/1/1993,9526.337,1
10/1/1993,9653.509,1
1/1/1994,9748.156,1
4/1/1994,9881.384,1
7/1/1994,9939.655,1
10/1/1994,10052.518,1
1/1/1995,10086.878,1
4/1/1995,10122.122,1
7/1/1995,10208.772,1
10/1/1995,10281.246,1
1/1/1996,10348.691,1
4/1/1996,10529.379,1
7/1/1996,10626.778,1
10/1/1996,10739.057,1
1/1/1997,10820.908,1
4/1/1997,10984.15,1
7/1/1997,11124.013,1
10/1/1997,11210.329,1
1/1/1998,11321.246,1
4/1/1998,11431.046,1
7/1/1998,11580.587,1
10/1/1998,11770.686,1
1/1/1999,11864.675,1
4/1/1999,11962.524,1
7/1/1999,12113.075,1
10/1/1999,12323.336,1
1/1/2000,12359.095,1
4/1/2000,12592.53,1
7/1/2000,12607.676,1
10/1/2000,12679.338,1
1/1/2001,12643.283,1
4/1/2001,12710.303,0
7/1/2001,12670.106,0
10/1/2001,12705.269,0
1/1/2002,12822.258,0
4/1/2002,12893.002,0
7/1/2002,12955.769,0
10/1/2002,12964.016,0
1/1/2003,13031.169,0
4/1/2003,13152.089,0
7/1/2003,13372.357,0
10/1/2003,13528.71,0
1/1/2004,13606.509,0
4/1/2004,13706.247,0
7/1/2004,13830.828,0
10/1/2004,13950.376,0
1/1/2005,14099.081,0
4/1/2005,14172.695,0
7/1/2005,14291.757,0
10/1/2005,14373.438,0
1/1/2006,14546.119,0
4/1/2006,14589.585,0
7/1/2006,14602.633,0
10/1/2006,14716.93,0
1/1/2007,14726.022,0
4/1/2007,14838.664,0
7/1/2007,14938.467,0
10/1/2007,14991.784,0
1/1/2008,14889.45,0
4/1/2008,14963.357,0
7/1/2008,14891.643,0
10/1/2008,14576.985,0
1/1/2009,14375.018,0
4/1/2009,14355.558,1
7/1/2009,14402.477,1
10/1/2009,14541.901,1
1/1/2010,14604.845,1
4/1/2010,14745.933,1
7/1/2010,14845.458,1
10/1/2010,14939.001,1
1/1/2011,14881.301,1
4/1/2011,14989.555,1
7/1/2011,15021.149,1
10/1/2011,15190.255,1
1/1/2012,15275.047,1
4/1/2012,15336.735,1
7/1/2012,15431.335,1
10/1/2012,15433.702,1
1/1/2013,15538.441,1
4/1/2013,15606.591,1
7/1/2013,15779.938,1
10/1/2013,15916.208,1
1/1/2014,15831.652,1
4/1/2014,16010.405,1
7/1/2014,16205.591,1
10/1/2014,16294.699,1
1/1/2015,16264.133,1
